DATE;e5;e1;l_cpi;dl_cpi;l_gdp;dl_gdp;ip;u;cfnai;l_pnfuel;mb;l_dm1;l_dm2;l_dm2m;l_dmzm;l_dm4;u_dm1;u_dm2;u_dm2m;u_dmzm;u_dm4
1989-08-01;;0.035;4.824305715904762;0.0;;;4.155845662564086;0.052000000000000005;0.0060999999999999995;;5.648460021467418;5.927946414877073;5.797727838955836;5.667040166734142;5.681637558019331;6.010905068733523;0.15580295478725284;0.3386288026336569;0.3229793655112915;0.3220001438152537;0.34652976672808444
1989-09-01;;0.034;4.826712455935327;0.028880880366784822;;;4.152236040637878;0.053;-0.006999999999999999;;5.649100990691145;5.9286085047286186;5.801745191921079;5.671291949551651;5.685928411432199;6.013324954816388;0.15370319216514616;0.3300776592248459;0.3164714704801673;0.3155872563323007;0.3340549089501623
1989-10-01;;0.036000000000000004;4.83150862819882;0.05755406716191658;;;4.1515846393941755;0.053;-0.0053;;5.6498119153806705;5.935108948890799;5.808820176227447;5.679103735041517;5.693650801459294;6.0220145841529344;0.15335393721665444;0.32941301570612025;0.3163922600320468;0.31550979611937163;0.3387076341423759
1989-11-01;;0.035;4.835487941050301;0.04775175421777078;;;4.154914280570583;0.054000000000000006;0.0025;;5.662314438162429;5.93593538960881;5.813514834347565;5.684191746318729;5.698689754848948;6.024462476869083;0.14954667175715988;0.31759608964904473;0.3060980814684497;0.3053660493030157;0.3241277393099544
1989-12-01;;0.035;4.838660029356445;0.038065059673726864;;;4.161097816526609;0.054000000000000006;-0.0003;;5.6846778037317955;5.94144658775384;5.8196569081744505;5.690792283234472;5.705302558135866;6.0284388971504566;0.14696093315784778;0.3112384381506849;0.29884716696519564;0.2982207559954393;0.3158311543327378
1990-01-01;;0.040999999999999995;4.848116364598481;0.11347602290443248;;;4.154368219181599;0.054000000000000006;-0.0037;;5.680623019512422;5.944353672844894;5.823592918700709;5.695499537418054;5.710044605034064;6.0340868183711525;0.1454961207455947;0.3087353199577366;0.296089358661176;0.2955041480602199;0.31096234532182665
1990-02-01;;0.040999999999999995;4.852030263919617;0.0469667918536274;;;4.164343150029032;0.053;0.0083;;5.661984309391837;5.947488606502327;5.827945172997215;5.700354788196112;5.714765064546741;6.038863317017741;0.1465358475082435;0.31582088549624704;0.30157103643296196;0.3018509384536402;0.3160029584623892
1990-03-01;;0.037000000000000005;4.856706811803519;0.05611857460682046;;;4.169329887484241;0.052000000000000005;0.0021;;5.678129567797511;5.950958642193933;5.8315844055659705;5.704136696774759;5.718857939241443;6.043100398678242;0.14970371249018494;0.33087989964570275;0.3127271828634651;0.31349313339383234;0.3295286390026739
1990-04-01;0.04;0.036000000000000004;4.859036909945142;0.027961177699481254;;;4.168175710349301;0.054000000000000006;-0.0095;;5.695091483834731;5.955694939334036;5.83608827389568;5.709003711613238;5.723910892878934;6.046480262890552;0.1477031490967431;0.3201605425955849;0.3056928193584669;0.3060127284416697;0.3164385979451391
1990-05-01;0.043;0.034;4.860587297852597;0.01860465488945451;;;4.169804477231962;0.054000000000000006;-0.0016;;5.694671091787739;5.954408292384232;5.836271972795397;5.708759379795837;5.723770773571547;6.047456907871295;0.1466379540653491;0.3133170732311387;0.3024650221267854;0.3027117413527453;0.3100030424123565
1990-06-01;0.046;0.038;4.866764923676554;0.0741315098874864;;;4.173115692552961;0.052000000000000005;-0.0013;;5.709572347612935;5.959715309641585;5.841014948711911;5.713541302273124;5.728655641133747;6.0534852953214076;0.14646416654984562;0.3147497604988979;0.3023430342791825;0.3028939123137379;0.3143864597351806
1990-07-01;0.042;0.034;4.871373226762748;0.05529963703433438;;;4.171978216609385;0.055;-0.0087;;5.716659212469881;5.962898772974068;5.844142635862186;5.716432004311513;5.731781399385499;6.059419792506063;0.14435104320566305;0.3081924396032737;0.2979410607010684;0.29771557798171244;0.3090401331731809
1990-08-01;0.046;0.046;4.879767018891217;0.10072550554162163;;;4.175048589637063;0.057;-0.005600000000000001;;5.720793627711635;5.971206950275168;5.851053006261552;5.72422001329793;5.739713408261143;6.066904564637247;0.14108736657907991;0.2996048607116689;0.2896294884774692;0.2894408631737078;0.3013417941121792
1990-09-01;0.047;0.047;4.886582645426277;0.08178751842071819;;;4.1764958145828155;0.059000000000000004;-0.0109;;5.730206920091331;5.977231258412505;5.855976415122948;5.72965321359138;5.745573112395084;6.069336231100749;0.1393927553502282;0.29376111633846674;0.28472847868222817;0.2844702822236772;0.2930912191994774
