DATE;e5;e1;cpi;l_rgdp;l_pnfuel;l_dm1;l_dm2;l_dm2m;l_dmzm
1993-03-01;1.2809338454620642;3.1;4.964940334834126;9.150720810706055;4.438931152118224;6.199059675763325;5.970370771169628;5.931698229872563;5.953706557708709
1993-04-01;1.252762968495368;3.0;4.9684234452869465;9.153261789721473;4.452079556098767;6.209179657878765;5.973526183275009;5.937005623559602;5.958640563585613
1993-05-01;1.252762968495368;2.9;4.971201224850849;9.158098660144178;4.465948685730072;6.226717699869107;5.984357202642946;5.9513471215688725;5.973188959963628
1993-06-01;1.33500106673234;3.5;4.971894465779825;9.159422931213019;4.448744150031082;6.2356592770692965;5.988240451080495;5.957747755191512;5.9785276143390345
1993-07-01;1.252762968495368;3.0;4.973279507552487;9.15619813256176;4.467763499238469;6.244441865440247;5.9905850648871874;5.962328813616871;5.982541815442928
1993-08-01;1.1939224684724346;3.2;4.975353479951616;9.16055899826384;4.451710654960408;6.253840811038463;5.994178479407891;5.9681512319179975;5.988032789687887
1993-09-01;1.1939224684724346;3.0;4.976733742420574;9.168591760989862;4.441142394340387;6.263449612492003;5.9984889940667765;5.974435329218337;5.994278018307419
1993-10-01;1.252762968495368;3.3;4.980863135762585;9.166848221732574;4.431923981236044;6.271432888904;6.001724499622027;5.979427759298797;5.999378663204968
1993-11-01;1.2237754316221157;2.8;4.983606621708336;9.177341198341937;4.43123135041203;6.281856694062611;6.007683882584348;5.987566308283035;6.007452030782969
1993-12-01;1.2809338454620642;3.0;4.9856593080260785;9.180929073041522;4.451942929293058;6.2867962767504775;6.010189134854647;5.9915097271755435;6.011654434831268
1994-01-01;1.1631508098056809;2.8;4.9856593080260785;9.181193235319759;4.463361924623465;6.293967952778705;6.0124396444287465;5.9954748181563255;6.014819613522228
1994-02-01;1.1939224684724346;2.8;4.9883896851489355;9.185800656838707;4.483890157971331;6.300620759443227;6.014588536462963;5.999096804869753;6.016214786039405
1994-03-01;1.2237754316221157;3.0;4.991112627607392;9.187437846937616;4.486886802447222;6.304098479254142;6.01648498846876;6.002234150077973;6.019879396087845
1994-04-01;1.1631508098056809;3.0;4.991792206294776;9.191296225348783;4.505430861524486;6.305371105734317;6.016911064432153;6.003254098890871;6.021757652436024
1994-05-01;1.2237754316221157;3.1;4.993828175779875;9.203933233946584;4.532574205766089;6.307258708839088;6.0193283663389385;6.00579534245675;6.0234572328406815
1994-06-01;1.2237754316221157;2.7;4.996536369716754;9.199901426342757;4.554793416592035;6.309173802805492;6.016934699286829;6.002207505551107;6.019775989804804
1994-07-01;1.1631508098056809;2.9;4.99991133073328;9.20143757310163;4.56612610216647;6.314117212497443;6.019466743818726;6.003943551455347;6.021684936436128
1994-08-01;1.252762968495368;3.1;5.003946305945459;9.20753836159927;4.560968349566651;6.314597594210862;6.018682953687383;6.001538186707183;6.01944668278975
1994-09-01;1.1631508098056809;3.4;5.005957704545144;9.203828472591852;4.587548757512658;6.317472368056387;6.018818870176827;6.000249631673441;6.018216732352543
1994-10-01;1.1939224684724346;3.0;5.006627272698717;9.213389004356404;4.5842378962300065;6.3170437758693065;6.017398896290196;5.996359032737132;6.015584183049395
1994-11-01;1.1631508098056809;3.2;5.00930107108312;9.212671783669093;4.591393455860487;6.318210445909389;6.017172924491987;5.9936606634860405;6.013292705731358
1994-12-01;1.1631508098056809;3.0;5.011301738639416;9.220610476437697;4.604271428776352;6.318084823189124;6.015441608163623;5.989394182726598;6.009313386567543
1995-01-01;1.1631508098056809;3.0;5.01396308418893;9.223180875479216;4.6181208434350545;6.3193766829500975;6.0154117811666765;5.9859857470520845;6.006900922607564
1995-02-01;1.1631508098056809;3.0;5.016617365773803;9.214342763498403;4.612995124939135;6.316503250704867;6.012201884120697;5.9783570273414135;5.999041733296484
1995-03-01;1.1939224684724346;3.2;5.018603463745433;9.219378429722958;4.626615485021485;6.316348897496911;6.009927303760151;5.971675614980228;5.993508415745873
1995-04-01;1.252762968495368;3.3;5.02256386496153;9.217813317990629;4.6284212431812035;6.318729441321127;6.009848851451664;5.968746586674281;5.991340078148309
1995-05-01;1.1631508098056809;3.0;5.024538199265247;9.220200135246122;4.619405991117691;6.320532732227537;6.0142487785018135;5.971539785451054;5.994776542436285
1995-06-01;1.1314021114911006;2.9;5.026508643252546;9.229336707712795;4.628613857698855;6.3265095099022925;6.019879757553217;5.976849264675231;6.000947936990714
1995-07-01;1.1631508098056809;2.9;5.027820118850356;9.225212324580596;4.636450121995204;6.328259852456746;6.022894604567129;5.97937282942351;6.004077924533731
1995-08-01;1.1314021114911006;2.9;5.029784112935016;9.229810934162082;4.6226189452691155;6.332510070922745;6.027788480217781;5.9843960476885725;6.009103772055657
1995-09-01;1.1314021114911006;2.8;5.031091302663638;9.237898691633482;4.609697085617697;6.335100552010506;6.030760921662943;5.987398329984551;6.0122787357131315
1995-10-01;1.1631508098056809;2.9;5.033700567027251;9.235329538067544;4.605385653396131;6.338702801096688;6.034010956075816;5.990846346524272;6.015903250012637
1995-11-01;1.1314021114911006;2.8;5.03500265054455;9.235259176527917;4.602468508036893;6.33991552919204;6.0351080454739865;5.991551311584238;6.016909303609188
1995-12-01;1.1314021114911006;2.7;5.0363030408448335;9.243601762300855;4.591468859912364;6.342648066930732;6.0377595659820775;5.994330959172969;6.019862825604055
1996-01-01;1.1631508098056809;2.8;5.04148775757902;9.242524412307018;4.586642462790153;6.352501866917563;6.044430302826376;6.001788817899631;6.027605647112999
1996-02-01;1.1939224684724346;2.8;5.043425116919247;9.242925840706599;4.601762301839022;6.355083340227482;6.0480512932374815;6.0057279864743744;6.032101994007058
1996-03-01;1.1631508098056809;2.9;5.0466457316192885;9.248390560951515;4.609341883934331;6.364644877843912;6.055954375288218;6.0148918583248845;6.041690787995748
1996-04-01;1.0986122886681098;3.0;5.050496827521386;9.262690845819558;4.647081944808299;6.3735788148287105;6.0604373584652445;6.020077725575322;6.046816621702325
1996-05-01;1.1939224684724346;3.1;5.052416828111211;9.25875806732821;4.668662439282623;6.375244804376451;6.063571923765829;6.0237504340658985;6.050518591052393
1996-06-01;1.1314021114911006;2.9;5.054333149361975;9.26431884899702;4.626218312972817;6.38194032508289;6.0679861957061565;6.028913544541168;6.056163145177941
1996-07-01;1.1631508098056809;3.0;5.056245805348308;9.268457641809315;4.61547312127481;6.387240217245959;6.072237466246373;6.0334555545497786;6.06147902570787
1996-08-01;1.1939224684724346;3.1;5.057518879995106;9.27001783472519;4.615606715020987;6.390064289731335;6.074142773267022;6.034998356903846;6.063673113502696
1996-09-01;1.1631508098056809;3.2;5.060694493968993;9.274886634304522;4.578343732020366;6.3955469936579545;6.077272489516938;6.0380703918528695;6.067395097532038
1996-10-01;1.0986122886681098;3.0;5.063860055333554;9.28255183290582;4.556841602514461;6.399546865157363;6.081125389985961;6.041998036493227;6.071386084112962
1996-11-01;1.0986122886681098;3.0;5.0670156275323635;9.283771210713892;4.560972528350496;6.406068517728636;6.086763331569058;6.0480037367004575;6.0776596248463415
1996-12-01;1.0986122886681098;3.0;5.069532935343741;9.278565287452851;4.5596036161739075;6.4110110382055305;6.091784873653;6.0534606047923525;6.0835577153504685
1997-01-01;1.1631508098056809;3.0;5.071416766356115;9.279330133290742;4.585808120264505;6.416008233505098;6.095903183383906;6.057948738187656;6.0880793095229375
1997-02-01;1.1314021114911006;3.0;5.073297055220967;9.29467987652303;4.59480930706138;6.4202387266050875;6.099192554585673;6.061433772723259;6.092301034758846
1997-03-01;1.0986122886681098;2.8;5.073923033332174;9.293593276041733;4.615088600468129;6.424885230432451;6.103387078589725;6.0659667292825485;6.097618654438474
1997-04-01;1.0647107369924282;3.0;5.074548619839908;9.303178917048502;4.606849505456247;6.426745649496944;6.106407535970062;6.069068456287388;6.100754129012239
1997-05-01;1.0986122886681098;2.9;5.074548619839908;9.299936042591748;4.617293237216693;6.433954107541988;6.110340763417495;6.072922149378827;6.1049055862318085
1997-06-01;1.1314021114911006;2.8;5.076423034634259;9.309455693236801;4.575087134565222;6.439540454013318;6.114923388640327;6.077565686368509;6.1100670590423425
1997-07-01;1.0647107369924282;2.7;5.077670695432414;9.313580441603271;4.5598141438343704;6.4424623753785655;6.118581514181519;6.0812319735670535;6.1142157642795185
1997-08-01;1.0986122886681098;2.7;5.080161356744866;9.31644653737125;4.555252041435815;6.4550941940914806;6.128082001719457;6.091532589448363;6.124593916059988
1997-09-01;1.1314021114911006;2.8;5.0826458300725275;9.320505627981417;4.538660154105111;6.457458931984835;6.131237470326839;6.094928479734049;6.128532229213428
1997-10-01;1.0986122886681098;2.8;5.084505142662711;9.323310069357918;4.522829072666557;6.463049004233126;6.136555706767894;6.100724139396352;6.134532929667941
1997-11-01;1.1314021114911006;2.9;5.085742766583061;9.321197748308453;4.524371503270109;6.470523264662955;6.1430885389965955;6.1079686008876735;6.141692820646286
1997-12-01;1.1314021114911006;2.8;5.086361004624392;9.329211491100526;4.488068384166691;6.474938000556882;6.148437219075844;6.113829755158139;6.148015871327567
1998-01-01;1.0647107369924282;2.3;5.087596335232384;9.32412287100475;4.454084453819828;6.480356402936795;6.154173670756125;6.120038961848384;6.154610463521523
1998-02-01;1.0647107369924282;2.4;5.087596335232384;9.337758256433752;4.466792004716067;6.486306606599765;6.1619529008525395;6.128629346986579;6.163302304459768
1998-03-01;1.0296194171811581;2.5;5.087596335232384;9.341307677811589;4.463947679707961;6.488335930563513;6.167015827986982;6.134306056050055;6.169342604404503
1998-04-01;0.9932517730102834;2.4;5.088830141681313;9.339923511852959;4.473050064085018;6.493590633851727;6.173276185662902;6.141377400373;6.177155145963822
1998-05-01;1.0296194171811581;2.6;5.0912931971137105;9.341923915216908;4.47013771459938;6.498522546991133;6.178858617045704;6.147803313630532;6.184221391579414
1998-06-01;1.0647107369924282;2.7;5.09252245356844;9.350349855570364;4.44898597141301;6.501116111180772;6.182990788412157;6.152418820332994;6.189635281426817
1998-07-01;0.9932517730102834;2.6;5.094976442530006;9.349775947405739;4.422601357877083;6.505638310583462;6.1882579707218435;6.158504064553131;6.195984587623969
1998-08-01;0.9932517730102834;2.4;5.096201182425903;9.354226178890528;4.39331322064534;6.510355221510968;6.193938901331028;6.165158362259911;6.203514021559147
1998-09-01;1.0647107369924282;2.3;5.096812990337308;9.367121948175726;4.3793545110590815;6.5172960287350925;6.202270839501443;6.174637484951061;6.213822574902864
1998-10-01;1.0296194171811581;2.5;5.099256485749784;9.371901395922487;4.365370080675;6.5241308444410535;6.211104026503048;6.184654512027483;6.225113750140232
1998-11-01;1.0296194171811581;2.3;5.100475998096045;9.375129141374654;4.365545770658513;6.531868981836362;6.220601159500068;6.195630718767992;6.2368111385689975
1998-12-01;1.0647107369924282;2.5;5.10230248262208;9.373013512962482;4.341686867910123;6.5361086204276;6.2274264956097385;6.203799266686923;6.245553064630696
1999-01-01;1.0986122886681098;2.7;5.104125637183595;9.376043032715453;4.349384579541584;6.540498977311407;6.233938698681122;6.211719215205724;6.253459230297934
1999-02-01;1.0296194171811581;2.5;5.104125637183595;9.381424649980643;4.321604955720891;6.54265581767048;6.238663943092773;6.217470941364597;6.260055651635497
1999-03-01;0.9932517730102834;2.7;5.1047326174753715;9.38641417595338;4.314779035262158;6.544522381474779;6.240962490040468;6.2202950587950525;6.2628032318536455
1999-04-01;1.0296194171811581;2.7;5.111385197196399;9.386785365328526;4.31532333877181;6.5511515271833245;6.2481207647655586;6.228478149258352;6.271747296222321
1999-05-01;1.0647107369924282;2.8;5.111987788356544;9.391016016846654;4.32441921728356;6.558409977877116;6.254446471628207;6.23576414843224;6.279060647591241
1999-06-01;1.0296194171811581;2.5;5.111987788356544;9.390752932925531;4.309821812811656;6.558770953955653;6.258541520923378;6.240568986961275;6.2837862603890935
1999-07-01;1.0647107369924282;2.7;5.116195789756748;9.400556701420976;4.303322272511542;6.562803451387305;6.264572654230119;6.247084776401074;6.289940940391693
1999-08-01;1.0296194171811581;2.8;5.118592435601348;9.399776073117748;4.333015708350994;6.5668640379457015;6.268132100699298;6.250849189415035;6.294329310135508
1999-09-01;1.0647107369924282;2.7;5.122772794033106;9.40573641785569;4.356053641794232;6.5659835868763725;6.270332237651331;6.252777810263568;6.296380164571253
1999-10-01;1.0296194171811581;2.9;5.12455904041457;9.41223161323323;4.354909780147677;6.571393066525055;6.2753353340206255;6.257748989447531;6.302053192576803
1999-11-01;1.0647107369924282;2.9;5.126342101808226;9.418218665948114;4.354874204169238;6.5780286305831055;6.279075976688922;6.261042936171661;6.306708339650939
1999-12-01;1.0647107369924282;3.0;5.128714582161857;9.427183873360269;4.36689803342681;6.587766353286793;6.2845614035149;6.266415561002418;6.312914359158612
2000-01-01;1.0986122886681098;3.0;5.13167228913909;9.416940192961789;4.381881991173018;6.5883035141134965;6.287516364611827;6.268768835229317;6.3163636747659195
2000-02-01;1.0647107369924282;2.9;5.135798437050262;9.421803770386651;4.391427559506554;6.5816832117323685;6.287276892303336;6.267534792470926;6.3151686766924735
2000-03-01;1.1314021114911006;3.2;5.14166355650266;9.427619704265632;4.390602926119698;6.583123469741406;6.291626622528414;6.27145627952295;6.319936296387111
2000-04-01;1.0296194171811581;3.2;5.141078590121546;9.440098769703344;4.3897613577596175;6.5917627530668526;6.301879205020831;6.2818200801136195;6.330145842226107
2000-05-01;1.0647107369924282;3.0;5.1428324637076415;9.439726598491072;4.4005409578286265;6.5867583733339155;6.29802321914749;6.277057009244398;6.32603287464313
2000-06-01;1.0296194171811581;2.9;5.14865659199363;9.442693772475927;4.381876570594921;6.587115493168745;6.300825924599755;6.279070522158105;6.328306776465747
2000-07-01;1.0296194171811581;3.0;5.1515559851526325;9.435705987668102;4.371548407581073;6.590557073644948;6.305302417324531;6.282959106261551;6.33343526374078
2000-08-01;1.0647107369924282;2.7;5.1515559851526325;9.445048042740739;4.3552498026031765;6.591756372650668;6.309570020100469;6.286694313100012;6.338112468380952
